benign,192555,0.2962218587,387,5820,-4.464170407,True,False,0,8,1,4,0,1,0,0,0.9919503518,191005,57039,3.348673714,False,84
benign,279,0.146953405,2957,6539,-4.744627462,False,True,0,3,0,0,0,1,0,0,0,0,41,0,False,102
benign,4565,0.2135815991,0,0,-4.386892157,True,False,0,6,0,1,0,5,0,0,0.626286966,2859,975,2.932307692,False,98
benign,3301,0.347167525,0,0,-5.029501911,True,False,0,39,0,0,0,0,0,0,1,3301,1146,2.880453752,False,132
benign,35943,0.2409926829,0,0,-4.361870733,True,False,0,33,45,284,0,55,0,0,0.6925966113,24894,8662,2.873932117,False,160
benign,0,0,0,0,-4.560525756,True,False,0,4,0,0,0,0,0,0,0,0,0,0,False,100
benign,128,0.1640625,0,0,-4.569677916,True,False,0,21,0,0,0,1,0,0,0,0,21,0,False,101
benign,20355,0.259150086,0,0,-4.144516439,True,False,0,1,8,30,0,0,0,0,0.9283714075,18897,5275,3.582369668,False,92
benign,29371,0.2418712335,300,4447,-4.355714281,True,False,0,6,11,281,0,17,0,0,0.6554424432,19251,7104,2.709881757,False,83
benign,172732,0.2509436584,3364,9783,-4.440680963,True,False,0,7,16,95,0,4,0,0,0.5466039877,94416,43346,2.178194066,False,111
benign,71,0.1971830986,304,2982,-3.634844292,True,False,0,78,0,0,0,1,0,0,0,0,14,0,False,238
benign,37,0.1081081081,164,3853,-4.147977876,True,False,0,0,0,0,0,1,0,0,0,0,4,0,False,87
benign,0,0,79,1381,-4.591940615,True,False,0,5,0,0,8,1,0,0,0,0,0,0,False,112
benign,25885,0.2592621209,731,6938,-4.209071952,True,False,0,0,60,326,0,8,0,0,0.6453544524,16705,6711,2.489196841,False,128
benign,3161,0.240113888,2623,10890,-4.508763836,True,False,0,4,1,88,0,9,0,0,0.5416007593,1712,759,2.255599473,False,95
benign,71,0.1971830986,304,2982,-3.573571479,True,False,0,100,0,0,0,1,0,0,0,0,14,0,False,304
benign,21321,0.251817457,0,0,-4.254322479,True,False,0,1,1,30,0,0,0,0,0.936541438,19968,5369,3.719128329,False,122
benign,37,0.1081081081,164,3853,-4.272761715,True,False,0,5,0,0,0,1,0,0,0,0,4,0,False,103
benign,16081,0.2571979355,1594,10092,-4.402950132,True,False,0,6,9,35,0,1,0,0,0.7191716933,11565,4136,2.796179884,False,84
benign,0,0,0,0,-4.932987806,True,False,0,28,0,0,4,0,0,0,0,0,0,0,False,123
benign,0,0,32,6176,-4.393771875,True,False,0,0,0,0,0,0,0,0,0,0,0,0,False,87
benign,3301,0.347167525,0,0,-4.947476189,True,False,0,35,0,0,0,0,0,0,1,3301,1146,2.880453752,False,141
benign,255598,0.2941337569,320,4061,-4.169621729,True,False,0,0,9,132,0,1,0,0,0.007457022355,1906,75180,0.02535248736,False,98
